Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_030845735.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	463908	Complete Genome	5368317	1	1	57.5	98.81	0.49	PacBio	SAMN36071298	urine	Homo sapiens	missing	USA:Virginia	2017-02-18	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	387608	Complete Genome	5541072	3	3	57.5	98.68	0.52	PacBio	SAMN36071297	blood	Homo sapiens	missing	USA:Maryland	2016-04-23	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	371661	Complete Genome	5587568	2	2	56.5	98.02	0.96	PacBio	SAMN36071296	respiratory	Homo sapiens	missing	Germany	2005-05-23	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845795.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	363389	Complete Genome	5808749	4	4	57	98.8	1.7	PacBio	SAMN36071295	Unknown	Homo sapiens	missing	Germany	2006-08-22	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845815.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	31285	Complete Genome	5946791	4	4	56.5	98.35	0.62	PacBio	SAMN36071294	Surveillance	Homo sapiens	missing	Germany	2015-07-16	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	23620	Complete Genome	5872848	5	5	56.5	98.34	0.5	Oxford Nanopore MinION	SAMN36071293	urine	Homo sapiens	missing	USA:Maryland	2014-05-12	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845855.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	15017	Complete Genome	5691320	3	3	57	98.63	0.84	PacBio	SAMN36071292	urine	Homo sapiens	missing	USA:Virginia	2013-02-20	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845875.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	13810	Complete Genome	5685454	3	3	57	97.98	0.32	PacBio	SAMN36071291	Surveillance	Homo sapiens	missing	USA:Maryland	2012-11-13	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	13765	Complete Genome	5969109	8	8	56.5	98.85	1.78	PacBio	SAMN36071290	Burn	Homo sapiens	missing	Turkey	2012-02-10	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845915.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	12964	Complete Genome	5685451	3	3	57	97.98	0.32	PacBio	SAMN36071289	blood	Homo sapiens	missing	USA:Washington DC	2012-11-11	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845935.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	5890	Complete Genome	5828359	4	4	57	98.81	0.62	PacBio	SAMN36071288	wound	Homo sapiens	missing	USA:Washington DC	2006-05-05	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845955.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	5881	Complete Genome	5919203	4	4	56.5	98.55	1.84	PacBio	SAMN36071287	wound	Homo sapiens	missing	USA:Washington DC	2005-07-11	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845975.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	5764	Complete Genome	5706873	6	6	57	99.06	0.78	PacBio	SAMN36071286	CSF	Homo sapiens	missing	USA:Washington DC	2005-10-07	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030846055.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	LZSRT11	Complete Genome	5487604	2	2	57.5	98.35	0.84	Oxford Nanopore MinION	SAMN36942424				China: Luzhou	2021	PRJNA1004410	Genome sequencing and assembly of bacterial isolates from hospital sewage	2023-08-20
GCF_030846075.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	LZSFT39	Complete Genome	5753957	5	5	57	98.45	2.07	Oxford Nanopore MinION	SAMN36942422				China: Luzhou	2021	PRJNA1004410	Genome sequencing and assembly of bacterial isolates from hospital sewage	2023-08-20
GCF_030847575.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP85	Complete Genome	5436913	3	3	57.5	98.96	0.94	Oxford Nanopore; Illumina HiSeq	SAMN20294572	feces	Homo sapiens		China: Beijing	2019	PRJNA747748	Klebsiella pneumoniae strain:KP85 Assembly	2023-08-21
GCF_030848965.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	43	Complete Genome	5505661	3	3	57.5	99.07	0.54	Illumina; Oxford Nanopore	SAMN36946811		Homo sapiens		China	2018	PRJNA1004578	Klebsiella pneumoniae strain:43 Genome sequencing	2023-08-22
GCF_030863585.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	BA32726	Complete Genome	5647390	4	4	57	98.29	1.58	Illumina HiSeq; Oxford Nanopore MinION	SAMN29409900	blood	Homo sapiens	bacteremia	India	2021	PRJNA833550	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-23
GCF_030863985.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPLSX	Complete Genome	5388428	3	3	57.5	98.64	0.53	Oxford Nanopore MinION	SAMN36794656	blood	Homo sapiens	Bloodstream infection	China: Hangzhou	2023-07-18	PRJNA1001124	Whole genome sequence of hypervirulent Klebsiella pneumoniae	2023-08-23
GCF_030866865.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPLSN	Complete Genome	5387723	3	3	57.5	98.67	0.53	Oxford Nanopore MinION	SAMN36794655	Pus	Homo sapiens	Bloodstream infection	China: Hangzhou	2023-07-18	PRJNA1001124	Whole genome sequence of hypervirulent Klebsiella pneumoniae	2023-08-24
GCF_031312745.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	S1	Complete Genome	5909550	4	4	57	98.55	1.69	PacBio	SAMN30403719	urine			China: Qilu Hospital, Jinan	2018-12-12	PRJNA871072	Klebsiella pneumoniae strain:S1 Genome sequencing	2023-09-08
GCF_031326245.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP26	Complete Genome	5794103	3	3	57	97.12	0.34	Oxford Nanopore MinION	SAMN37272497	rectal swab	Homo sapiens		United Kingdom: England	2022-08	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-09-11
GCF_031326265.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP17	Complete Genome	5904377	5	5	56.5	97.39	1.2	Oxford Nanopore MinION	SAMN37272496	rectal swab	Homo sapiens		United Kingdom: England	2022-05	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-09-11
GCF_031326285.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP27	Complete Genome	5742704	4	4	57	98.62	1.05	Oxford Nanopore MinION	SAMN37272498	blood	Homo sapiens		United Kingdom: England	2022-08	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-09-11
GCF_031357205.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GDC9I111	Complete Genome	5305994	2	2	57.5	98.46	0.73	Oxford Nanopore MinION	SAMN35073601	Environment			China:Guangdong	2019-06-01	PRJNA972347	Klebsiella pneumoniae Genome sequencing	2023-09-12
GCF_031357365.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GHZ9C28	Complete Genome	5453404	2	2	57	98.99	0.83	Oxford Nanopore MinION	SAMN35073602	chicken			China:Guangdong	2019-06-01	PRJNA972348	Klebsiella pneumoniae Genome sequencing	2023-09-12
GCF_031432775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP6	Complete Genome	5603266	3	3	57	98.52	1.11	Oxford Nanopore MinION	SAMN37200066	urine	Homo sapiens		United Kingdom: England	2022-02	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-09-13
GCF_031432915.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP5	Complete Genome	5403336	2	2	57.5	98.67	0.31	Oxford Nanopore MinION	SAMN37200059	rectal swab	Homo sapiens		United Kingdom: England	2022-01	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-09-13
GCF_031676375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	234	Complete Genome	5812732	5	5	57	97.98	0.71	Illumina HiSeq; PacBio	SAMN36776117	sputum			China:zhengzhou	2022-07-04	PRJNA1000727	Klebsiella pneumoniae strain:234 Genome sequencing	2023-09-19
GCF_031885215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	F9	Complete Genome	6003273	6	6	57	99.07	0.55	Illumina HiSeq; PacBio	SAMN37434702	urine	Homo sapiens		China:Luzhou	2020-10-29	PRJNA1018462	Klebsiella pneumoniae strain:F9 | isolate:F9 Genome sequencing and assembly	2023-09-25
GCF_032248875.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	L3995hy	Complete Genome	5547979	7	7	57	98.69	1.33	Oxford Nanopore	SAMN37449614	human stool			China:Hangzhou	2021-07	PRJNA1018721	Klebsiella pneumoniae strain:L3995hy Genome sequencing	2023-10-01
GCF_032253935.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	VA585-22	Complete Genome	5615879	3	3	57	98.11	0.22	Oxford Nanopore MinION; Illumina HiSeq	SAMN37513143	tracheal aspirate	Homo sapiens	Klebsiella respiratory infection	Chile: Santiago	2022-09-29	PRJNA1020101	Klebsiella pneumoniae strain:VA585-22 | isolate:VA585-22 Genome sequencing	2023-10-02
GCF_032343715.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	isolateK	Complete Genome	5682215	6	6	57	97.85	1.22	Oxford Nanopore MinION; Illumina MiSeq	SAMN37529182		Homo sapiens		Canada: Ottawa	2020	PRJNA1020811	Evaluating Oxford Nanopore Technologies R10.4.1 flow cells and v14 library prep kits for Gram negative bacteria	2023-10-04
GCF_032344435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	isolateJ	Complete Genome	5619595	4	4	57	99.07	0.19	Oxford Nanopore MinION; Illumina MiSeq	SAMN37529181		Homo sapiens		Canada: Ottawa	2020	PRJNA1020811	Evaluating Oxford Nanopore Technologies R10.4.1 flow cells and v14 library prep kits for Gram negative bacteria	2023-10-04
GCF_032348595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	isolateE	Complete Genome	5458050	7	7	57.5	98.52	0.29	Oxford Nanopore MinION; Illumina MiSeq	SAMN37529176		Homo sapiens		Canada: Ottawa	2021	PRJNA1020811	Evaluating Oxford Nanopore Technologies R10.4.1 flow cells and v14 library prep kits for Gram negative bacteria	2023-10-04
GCF_032463405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	OHT45-2A	Complete Genome	5654105	4	4	57	98.81	0.86	PacBio Sequel	SAMN37300943	Pig ear pet treat	missing		USA:OH	2021-05-03	PRJNA800017	CVM NARMS Retail Seafood Isolates	2023-10-08
GCF_032463405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	OHT45-2A	Complete Genome	5654105	4	4	57	98.81	0.86	PacBio Sequel	SAMN37300943	Pig ear pet treat	missing		USA:OH	2021-05-03	PRJNA800017	FDA CVM	2023-10-08
GCF_032680825.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GYF20	Complete Genome	5870238	4	4	56.5	98.92	1.47	Illumina HiSeq; Oxford Nanopore MinION	SAMN37682765		broiler		China: Jiangsu	2022-12	PRJNA983216	Genome sequencing and assembly	2023-10-15
GCF_032680845.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GYA12	Complete Genome	5868450	4	4	56.5	98.92	1.47	Illumina HiSeq; Oxford Nanopore MinION	SAMN37682764		broiler		China: Jiangsu	2022-12	PRJNA983216	Genome sequencing and assembly	2023-10-15
GCF_032681225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	L2425	Complete Genome	6022212	7	7	57	99.07	0.46	Illumina NovaSeq; Oxford Nanopore	SAMN37688352	feces	Homo sapiens		China:Hangzhou	2020-07-30	PRJNA1024078	Klebsiella pneumoniae Genome sequencing and assembly	2023-10-15
GCF_032759475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KLP1	Complete Genome	5751760	6	6	57	98.94	0.19	PacBio	SAMN37684971	clinical	Homo sapiens	Clinical	USA: Pittsburgh	2012	PRJNA1023934	In vivo evolution of a Klebsiella pneumoniae capsule defect promotes complement-mediated opsonophagocytosis and persistence during recurrent infection	2023-10-17
GCF_032807725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	NF01	Complete Genome	5743644	2	2	57	98.6	0.61	Illumina MiSeq; Oxford Nanopore MinION	SAMN37686350	wound exudate from white male caucasian	Homo sapiens	Necrotizing fasciitis	Hungary	2023-04-30	PRJNA1023973	Klebsiella pneumoniae strain:K.p_NF01 | isolate:K.p_NF01 Assembly	2023-10-18
GCF_032826355.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AMR180022	Complete Genome	6058687	7	7	56.5	98.29	1.24	Oxford Nanopore MinION; Illumina MiSeq	SAMN37160976	blood	Homo sapiens	infectious disease	Taiwan: Taichung	2018-11-21	PRJNA528846	Klebsiella pneumoniae subsp. pneumoniae Genome sequencing and assembly	2023-10-18
GCF_032827515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AMR180026	Complete Genome	5926636	6	6	56.5	97.9	0.97	Illumina MiSeq; Oxford Nanopore MinION	SAMN37171686	blood	Homo sapiens	infectious disease	Taiwan: Taipei	2017-09-26	PRJNA528846	Klebsiella pneumoniae subsp. pneumoniae Genome sequencing and assembly	2023-10-18
GCF_032829175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AMR200031	Complete Genome	5927116	11	11	57	98.29	0.87	Illumina MiSeq; Oxford Nanopore MinION	SAMN37176067	blood	Homo sapiens	infectious disease	Taiwan: Kaohsiung	2019-06-04	PRJNA528846	Klebsiella pneumoniae subsp. pneumoniae Genome sequencing and assembly	2023-10-18
GCF_032833155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CMUH20001	Complete Genome	5830733	5	5	57	98.29	0.98	Illumina MiSeq; Oxford Nanopore MinION	SAMN37176142	blood	Homo sapiens	infectious disease	Taiwan: Taichung	2019-12-05	PRJNA528846	Klebsiella pneumoniae subsp. pneumoniae Genome sequencing and assembly	2023-10-18
GCF_032833975.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SCKP170089	Complete Genome	5803089	5	5	57	98.29	1.2	Illumina MiSeq; Oxford Nanopore MinION	SAMN37176446	blood	Homo sapiens	infectious disease	Taiwan: Changhua	2017-07-23	PRJNA528846	Klebsiella pneumoniae subsp. pneumoniae Genome sequencing and assembly	2023-10-18
GCF_032878355.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	220	Complete Genome	5449570	4	4	57.5	97.97	0.58	Illumina MiSeq; Oxford Nanopore MinION	SAMN28747376	clinical isolate	Homo sapiens	Carbapenem resistant Klebsiella pneumoniae infection	Italy: Pavia	2021-03-19	PRJNA843573	Klebsiella pneumoniae AVI/CZA and CFDC resistant isolated in IRCCS Policlinico San Matteo (Italy)	2023-10-20
GCF_032878755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	5844	Complete Genome	5631947	6	6	57	98.55	1.59	Illumina MiSeq; Oxford Nanopore MinION	SAMN28747375	clinical isolate	Homo sapiens	Carbapenem resistant Klebsiella pneumoniae infection	Italy: Pavia	2021-02-22	PRJNA843573	Klebsiella pneumoniae AVI/CZA and CFDC resistant isolated in IRCCS Policlinico San Matteo (Italy)	2023-10-20
GCF_033238325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP99_L14_14.23_ST147_NDM5_OXA48	Complete Genome	6137484	6	6	56.5	97.88	1.96	Oxford Nanopore MinION	SAMN37951971	rectal swab	Homo sapiens		United Kingdom: England	2023-04	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033240085.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP97_L17_12.23_ST147_NDM5	Complete Genome	5934995	5	5	56.5	97.31	1.83	Oxford Nanopore MinION	SAMN37951970	rectal swab	Homo sapiens		United Kingdom: England	2023-03	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033242065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP88_L3_06.23_ST147_NDM14	Complete Genome	5935978	7	7	56.5	96.74	1.67	Oxford Nanopore GridION	SAMN37951969	rectal swab	Homo sapiens		United Kingdom: England	2023-01	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033243425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP86_L3_06.23_ST147_NDM14	Complete Genome	5945463	7	7	56.5	97.04	1.67	Oxford Nanopore GridION	SAMN37951968	rectal swab	Homo sapiens		United Kingdom: England	2022-12	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033244325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP82_L15_04.23_ST147_NDM5	Complete Genome	5899491	5	5	56.5	96.97	1.74	Oxford Nanopore MinION	SAMN37951967	blood	Homo sapiens		United Kingdom: England	2023-01	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033245165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP81_L15_03.23_ST147_NDM5	Complete Genome	6092869	6	6	56.5	97.95	2.27	Oxford Nanopore MinION	SAMN37951966	blood	Homo sapiens		United Kingdom: England	2023-01	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033245965.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP58_WM2_48.22_ST147_NDM5_OXA48	Complete Genome	6056955	4	4	56.5	98.22	1.83	Oxford Nanopore MinION	SAMN37951965	rectal swab	Homo sapiens		United Kingdom: England	2022-10	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033251225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP51_L9_46.22_ST147_NDM1_OXA48	Complete Genome	6005496	7	7	56.5	97.52	1.83	Oxford Nanopore MinION	SAMN37951964	feces	Homo sapiens		United Kingdom: England	2022-11	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033252145.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP39_L11_43.22_ST147_NDM5	Complete Genome	5895296	5	5	56.5	98.19	1.83	Oxford Nanopore MinION	SAMN37951963	blood	Homo sapiens		United Kingdom: England	2022-10	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033253045.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP124_L5_21.23_ST147_NDM5	Complete Genome	5923719	5	5	56.5	98.34	1.83	Oxford Nanopore MinION	SAMN37951962	urine	Homo sapiens		United Kingdom: England	2023-05	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033253665.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP119_WM3_21.23_ST147_NDM1	Complete Genome	5937132	7	7	56.5	98.41	1.69	Oxford Nanopore MinION	SAMN37951961	pooled swabs	Homo sapiens		United Kingdom: England	2023-05	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033254545.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP11_L3_11.22_ST147	Complete Genome	5632211	3	3	57	97.81	2.07	Oxford Nanopore MinION	SAMN37951960	neonatal screen	Homo sapiens		United Kingdom: England	2022-03	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033255445.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP102_WM3_17.23_ST147_OXA181	Complete Genome	5849287	7	7	56.5	97.24	1.13	Oxford Nanopore MinION	SAMN37951959	rectal swab	Homo sapiens		United Kingdom: England	2023-04	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033256205.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP101_SE2_14.23_ST147_NDM5_OXA232	Complete Genome	5978149	7	7	56.5	98.03	1.83	Oxford Nanopore MinION	SAMN37951958	feces	Homo sapiens		United Kingdom: England	2023-04	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033257165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP10_L3_11.22_ST147	Complete Genome	5695582	4	4	57	97.29	2.14	Oxford Nanopore GridION	SAMN37951957	neonatal screen	Homo sapiens		United Kingdom: England	2022-03	PRJNA1010831	q20 nanopore sequencing of bacterial opportunistic pathogens	2023-11-02
GCF_033258285.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	H8451	Complete Genome	5831450	5	5	57	98.81	0.5	Nanopore	SAMN37954806	N/A	Homo sapiens	N/A	China: Beijing	2020	PRJNA1031759	Klebsiella pneumoniae strain:H8451 Genome sequencing	2023-11-02
GCF_033259165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	H10544	Complete Genome	5908234	5	5	57	98.81	0.43	Nanopore	SAMN37954868	Urinary tract	Homo sapiens	N/A	China: Suzhou	2019	PRJNA1031760	Klebsiella pneumoniae strain:H10544 Genome sequencing	2023-11-02
GCF_033447315.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CR-KP32	Complete Genome	5653184	5	5	57	98.24	0.68	Oxford Nanopore	SAMN38086284	sputum	Homo sapiens		China: Shandong	2012-09-07	PRJNA1035291	Klebsiella pneumoniae Genome sequencing and assembly	2025-10-28
GCF_033563215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	tgc-02	Complete Genome	5812943	4	4	57	98.41	1.38	Illumina NovaSeq; PacBio Sequel	SAMN36813343	urine	Homo sapiens		China:Shandong	2021-10	PRJNA1001627	Klebsiella pneumoniae strain:tgc-02 Genome sequencing	2023-11-13
GCF_033564015.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	tgc-05	Complete Genome	5725995	3	3	57	98.55	0.96	Illumina NovaSeq; PacBio Sequel	SAMN36813357	urine	Homo sapiens		China:Shandong	2021-08	PRJNA1001628	Klebsiella pneumoniae strain:tgc-05 Genome sequencing	2023-11-13
GCF_033798725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP17	Complete Genome	5362623	2	2	57.5	98.95	0.5	Illumina NovaSeq; PacBio Sequel	SAMN37987679	mink			China:Jilin	2021-06-07	PRJNA1032231	Klebsiella pneumoniae strain:KP17 Genome sequencing	2023-11-18
GCF_033802585.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	64EVAM	Complete Genome	5797982	9	9	57	98.53	0.28	Illumina NovaSeq; Oxford Nanopore MinION	SAMN38124869	feces	Homo sapiens		Singapore	2019-01	PRJNA599529	antibiotic resistant bacteria from the gut microbiota Genome sequencing	2023-11-19
GCF_033802845.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP045	Complete Genome	5764100	5	5	56.5	98.46	1.53	PacBio RSII	SAMN38212343	blood	Homo sapiens	Bloodstream infection	China: Shanghai	2022	PRJNA1039341	Klebsiella pneumoniae KP045	2023-11-19
GCF_033807335.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP2310	Complete Genome	5731692	6	6	57	96.46	0.98	Illumina; PacBio	SAMN37501192	urine			China:Wuhan	2020-08-17	PRJNA1019652	Klebsiella pneumoniae Genome sequencing and assembly	2023-11-20
GCF_033807355.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP3813	Complete Genome	6033772	8	8	57	98.81	1.17	Illumina; PacBio	SAMN37501193	urine			China:Wuhan	2020-09-26	PRJNA1019652	Klebsiella pneumoniae Genome sequencing and assembly	2023-11-20
GCF_033807375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP2963	Complete Genome	5944769	7	7	57	98.29	0.89	Illumina; PacBio	SAMN37501191	urine			China:Wuhan	2022-09-20	PRJNA1019652	Klebsiella pneumoniae Genome sequencing and assembly	2023-11-20
GCF_033807395.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP1078	Complete Genome	5800216	7	7	57	98.72	0.95	Illumina; Oxford Nanopore	SAMN37501187	sputum			China:Wuhan	2021-06-15	PRJNA1019652	Klebsiella pneumoniae Genome sequencing and assembly	2023-11-20
